,Name,_id,MetCat key,Type,Class,(A)chondrite,Group,Petrologic type,Recovered weight,Year,Month,Day,Hour,Locality,Country,Decimal latitude,Decimal longitude,Verbatim latitude,Verbatim longitude,Present in NHM collection,NHM specimen data
4757,Atoka,31232,A2590,Stone,Ordinary,Chondrite,L,6,475 g,1945,September,17,,Oklahoma,USA,34.3167,-96.15,34° 19' N,96° 9' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AA2590%7CscientificName%3AAtoka
4762,Aubres,31237,A2620,Stone,Aubrite,Achondrite,AUB,,800 g,1836,September,14,1500,Drome,France,44.3833,5.1667,44° 23' N,5° 10' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AA2620%7CscientificName%3AAubres
4769,Aumale,31244,A2730,Stone,Ordinary,Chondrite,L,6,50 kg,1865,August,25,1100-1200,Alger,Algeria,36.1667,3.6667,36° 10' N,3° 40' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AA2730%7CscientificName%3AAumale
4770,Aumieres,31245,A2740,Stone,Ordinary,Chondrite,L,6,2 kg,1842,June,3,2100,Lozere,France,44.3333,3.2333,44° 20' N,3° 14' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AA2740%7CscientificName%3AAumieres
4773,Ausson,31248,A2770,Stone,Ordinary,Chondrite,L,5,50 kg,1858,December,9,730,Haute Garonne,France,43.0833,0.5833,43° 5' N,0° 35' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AA2770%7CscientificName%3AAusson
4774,Adhi Kot,31249,A280,Stone,Enstatite,Chondrite,EH,4,4239 g,1919,May,1,1200,Punjab,Pakistan,32.1,71.8,32° 6' N,71° 48' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AA280%7CscientificName%3AAdhi%20Kot
4776,Avanhandava,31251,A2830,Stone,Ordinary,Chondrite,H,4,9.33 kg,1952,,,,São Paulo,Brazil,-21.4603,-49.9508,21° 27' 37'' S,49° 57' 3'' W,,
4777,Avce,31252,A2840,Iron,Hexahedrite,,IIAB,H,1230 g,1908,March,31,845,,Slovenia,46.0,13.5,46° N,13° 30' E,,
4778,Avilez,31253,A2870,Stone,Ordinary,Chondrite,H,,146 g,1855,June,,,Durango,Mexico,25.0,-103.5,25° N,103° 30' W,,
4782,Awere,31257,A2910,Stone,Ordinary,Chondrite,L,4,134 g,1968,July,12,300,Omoro County,Uganda,2.7167,32.8333,2° 43' N,32° 50' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AA2910%7CscientificName%3AAwere
4784,Aztec,31259,A2930,Stone,Ordinary,Chondrite,L,6,2.83 kg,1938,February,1,1700,New Mexico,USA,36.8,-108.0,36° 48' N,108° 0' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AA2930%7CscientificName%3AAztec
4785,Aachen,31260,A3,Stone,Ordinary,Chondrite,L,5,21 g,1880,,,,Nordrhein-Westfalen,Germany,50.775,6.0833,50° 46' 30'' N,6° 5' E,,
4792,Adzhi-Bogdo (stone),31267,A340,Stone,Ordinary,Chondrite,LL,3-6,910 g,1949,October,30,,,Mongolia,44.8333,95.1667,44° 50' N,95° 10' E,,
4800,Aguada,31275,A520,Stone,Ordinary,Chondrite,L,6,1620 g,1930,September,,,Cordoba,Argentina,-31.6,-65.2333,31° 36' S,65° 14' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AA520%7CscientificName%3AAguada
4818,Aguila Blanca,31293,A530,Stone,Ordinary,Chondrite,L,,1440 g,1920,January,15,2000,Cordoba,Argentina,-30.8667,-64.55,30° 52' S,64° 33' W,,
4825,Aioun el Atrouss,31300,A662,Stone,Diogenite,Achondrite,DIO,,,1974,April,17,,,Mauritania,16.3981,-9.5703,16° 23' 53'' N,9° 34' 13'' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AA662%7CscientificName%3AAioun%20el%20Atrouss
4826,Aïr,31301,A670,Stone,Ordinary,Chondrite,L,6,24 kg,1925,,,,,Niger,19.0833,8.3833,19° 5' N,8° 23' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AA670%7CscientificName%3AA%C3%AFr
4828,Akaba,31303,A690,Stone,Ordinary,Chondrite,L,6,779 g,1949,September,21,,,Jordan,29.5167,35.05,29° 31' N,35° 3' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AA690%7CscientificName%3AAkaba
4829,Akbarpur,31304,A710,Stone,Ordinary,Chondrite,H,4,1.8 kg,1838,April,18,800,Uttar Pradesh,India,29.7167,77.95,29° 43' N,77° 57' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AA710%7CscientificName%3AAkbarpur
4834,Akwanga,31309,A780,Stone,Ordinary,Chondrite,H,,3 kg,1959,July,2,,,Nigeria,8.9167,8.4333,8° 55' N,8° 26' E,,
4835,Akyumak,31310,A785,Iron,Medium octahedrite,,IVA,Om,45 - 50 kg,1981,August,2,1530-1600,East Anatolia,Turkey,39.9167,42.8167,39° 55' N,42° 49' E,,
4836,Abee,31311,A80,Stone,Enstatite,Chondrite,EH,,107 kg,1952,June,9,2305,Alberta,Canada,54.2153,-113.0064,54° 12' 55'' N,113° 0' 23'' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AA80%7CscientificName%3AAbee
4843,Alberta,31318,A950,Stone,Ordinary,Chondrite,L,,625 g,1949,November,13,1400,,Congo,2.0,22.6667,2° N,22° 40' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AA950%7CscientificName%3AAlberta
4856,Bells,31331,B1050,Stone,Carbonaceous,Chondrite,CM,2,283 g,1961,September,9,,Texas,USA,33.6,-96.4667,33° 36' N,96° 28' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB1050%7CscientificName%3ABells
4861,Belville,31336,B1150,Stone,,Chondrite,,,,1937,December,,,Cordoba,Argentina,-32.3333,-64.8667,32° 20' S,64° 52' W,,
4872,Benld,31347,B1250,Stone,Ordinary,Chondrite,H,6,1770.5 g,1938,September,29,900,Illinois,USA,39.0833,-89.15,39° 5' N,89° 9' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB1250%7CscientificName%3ABenld
4874,Benoni,31349,B1270,Stone,Ordinary,Chondrite,H,6,3880 g,1943,July,25,1735,Transvaal,South Africa,-26.1667,28.4167,26° 10' S,28° 25' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB1270%7CscientificName%3ABenoni
4876,Benton,31351,B1290,Stone,Ordinary,Chondrite,LL,6,2840 g,1949,January,16,2000,New Brunswick,Canada,45.95,-67.55,45° 57' N,67° 33' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB1290%7CscientificName%3ABenton
4877,Bahjoi,31352,B130,Iron,Coarse octahedrite,,IAB,Og,10.322 kg,1934,July,23,2130,Uttar Pradesh,India,28.4833,78.5,28° 29' N,78° 30' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB130%7CscientificName%3ABahjoi
4879,Béréba,31354,B1350,Stone,Eucrite,Achondrite,EUC,,18 kg,1924,June,27,1530,,Burkina Faso,11.65,-3.65,11° 39' N,3° 39' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB1350%7CscientificName%3AB%C3%A9r%C3%A9ba
4883,Bethlehem,31358,B1430,Stone,Ordinary,Chondrite,H,,,1859,August,11,730,New York,USA,42.5333,-73.8333,42° 32' N,73° 50' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB1430%7CscientificName%3ABethlehem
4885,Beuste,31360,B1480,Stone,Ordinary,Chondrite,L,5,2 kg,1859,May,,,Basses-Pyrénées,France,43.2167,-0.2333,43° 13' N,0° 14' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB1480%7CscientificName%3ABeuste
4886,Beyrout,31361,B1510,Stone,Ordinary,Chondrite,L,4,1100 g,1921,December,31,1545,,Syria,33.8833,35.5,33° 53' N,35° 30' E,,
4888,Bhagur,31363,B1530,Stone,Ordinary,Chondrite,L,6,,1877,November,27,1800,Maharashtra,India,20.8833,74.8333,20° 53' N,74° 50' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB1530%7CscientificName%3ABhagur
4891,Bherai,31366,B1560,Stone,Ordinary,Chondrite,L,6,100 g,1893,April,28,800,Gujarat,India,20.8333,71.4667,20° 50' N,71° 28' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB1560%7CscientificName%3ABherai
4892,Bhola,31367,B1570,Stone,Ordinary,Chondrite,LL,3-6,1047 g,1940,March,27,,Khulna,Bangladesh,22.6833,90.65,22° 41' N,90° 39' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB1570%7CscientificName%3ABhola
4893,Bholghati,31368,B1590,Stone,Howardite,Achondrite,HOW,,2.5 kg,1905,October,29,830,Orissa,India,22.0833,86.9,22° 5' N,86° 54' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB1590%7CscientificName%3ABholghati
4895,Bielokrynitschie,31370,B1660,Stone,Ordinary,Chondrite,H,4,,1887,January,1,1800,Khmelnytska Province,Ukraine,50.1333,27.1667,50° 8' N,27° 10' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB1660%7CscientificName%3ABielokrynitschie
4897,Bilanga,31372,B1693,Stone,Diogenite,Achondrite,DIO,,25 kg,1999,October,27,1030 (local time),,Burkina Faso,12.45,-0.0833,12° 27' N,0° 5' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB1693%7CscientificName%3ABilanga
4904,Binningup,31379,B1742,Stone,Ordinary,Chondrite,H,5,488 g,1984,September,30,1010,Western Australia,Australia,-33.1564,115.6764,33° 9' 23'' S,115° 40' 35'' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB1742%7CscientificName%3ABinningup
4908,Birni N'konni,31383,B1770,Stone,Ordinary,Chondrite,H,4,560 g,1923,April,,,,Niger,13.7667,5.3,13° 46' N,5° 18' E,,
4910,Bald Mountain,31385,B180,Stone,Ordinary,Chondrite,L,4,3.7 kg,1929,July,9,,North Carolina,USA,35.9667,-82.4833,35° 58' N,82° 29' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB180%7CscientificName%3ABald%20Mountain
4913,Bishopville,31388,B1840,Stone,Aubrite,Achondrite,AUB,,5.9 kg,1843,March,25,,South Carolina,USA,34.1667,-80.2833,34° 10' N,80° 17' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB1840%7CscientificName%3ABishopville
4914,Bishunpur,31389,B1860,Stone,Ordinary,Chondrite,LL,3,1039 g,1895,April,26,1500,Uttar Pradesh,India,25.3833,82.6,25° 23' N,82° 36' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB1860%7CscientificName%3ABishunpur
4918,Bjurböle,31393,B1910,Stone,Ordinary,Chondrite,L/LL,4,330 kg,1899,March,12,2230,,Finland,60.4,25.8,60° 24' N,25° 48' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB1910%7CscientificName%3ABjurb%C3%B6le
4919,Black Moshannan Park,31394,B1930,Stone,Ordinary,Chondrite,L,5,705.36 g,1941,July,10,0600-0630,Pennsylvania,USA,40.9167,-78.0833,40° 55' N,78° 5' W,,
4922,Blackwell,31397,B1960,Stone,Ordinary,Chondrite,L,5,2381 g,1906,May,,2100,Oklahoma,USA,36.8333,-97.3333,36° 50' N,97° 20' W,,
4925,Blanket,31400,B1980,Stone,Ordinary,Chondrite,L,6,,1909,May,30,2230,Texas,USA,31.8333,-98.8333,31° 50' N,98° 50' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB1980%7CscientificName%3ABlanket
4926,Blansko,31401,B1990,Stone,Ordinary,Chondrite,H,6,350 g,1833,November,25,1830,Moravia,Czech Republic,49.3667,16.6333,49° 22' N,16° 38' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB1990%7CscientificName%3ABlansko
4928,Baldwyn,31403,B200,Stone,Ordinary,Chondrite,L,6,345 g,1922,February,2,,Mississippi,USA,34.5,-88.6667,34° 30' N,88° 40' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB200%7CscientificName%3ABaldwyn
4932,Bloomington,31407,B2060,Stone,Ordinary,Chondrite,LL,6,67.8 g,1938,summer,,between 2100 and 220,Illinois,USA,40.48,-89.0042,40° 28' 48'' N,89° 0' 15'' W,,
4952,Bali,31427,B220,Stone,Carbonaceous,Chondrite,CV,3,980 g,1907,November,22 or 23,1030,,Central African,5.3833,16.3833,5° 23' N,16° 23' E,,
4953,Bogou,31428,B2200,Iron,Coarse octahedrite,,IAB,Og,8.8 kg,1962,August,14,1000,,Burkina Faso,12.5,0.7,12° 30' N,0° 42' E,,
4954,Boguslavka,31429,B2210,Iron,Hexahedrite,,IIAB,H,256 kg,1916,October,18,1147,Maritime Territory,Russia,44.55,131.6333,44° 33' N,131° 38' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB2210%7CscientificName%3ABoguslavka
4968,Bori,31443,B2430,Stone,Ordinary,Chondrite,L,6,8.6 kg,1894,May,9,1600,Madhya Pradesh,India,21.95,78.0333,21° 57' N,78° 2' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB2430%7CscientificName%3ABori
4969,Boriskino,31444,B2440,Stone,Carbonaceous,Chondrite,CM,2,1342 g,1930,April,20,1330,Orenburg Province,Russia,54.2333,52.4833,54° 14' N,52° 29' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB2440%7CscientificName%3ABoriskino
4970,Borkut,31445,B2450,Stone,Ordinary,Chondrite,L,5,7 kg,1852,October,13,1500,Zakarpatska Province,Ukraine,48.15,24.2833,48° 9' N,24° 17' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB2450%7CscientificName%3ABorkut
4978,Bovedy,31453,B2600,Stone,Ordinary,Chondrite,L,3,5.4 kg,1969,April,25,2122,County Londonderry,Northern Ireland,54.5667,-6.3333,54° 34' N,6° 20' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB2600%7CscientificName%3ABovedy
4983,Bo Xian,31458,B2635,Stone,Ordinary,Chondrite,LL,4,7.5 kg,1977,October,20,1430,Anhui,China,33.8333,115.8333,33° 50' N,115° 50' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB2635%7CscientificName%3ABo%20Xian
4985,Bradford Woods,31460,B2650,Stone,Ordinary,Chondrite,L,,762 g,1886,September,,1200,Pennsylvania,USA,40.5,-80.0833,40° 30' N,80° 5' W,,
4992,Braunau,31467,B2750,Iron,Hexahedrite,,IIAB,H,39 kg,1847,July,14,345,Bohemia,Czech Republic,50.6,16.3,50° 36' N,16° 18' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB2750%7CscientificName%3ABraunau
4993,Breitscheid,31468,B2810,Stone,Ordinary,Chondrite,H,5,1 kg,1956,August,11,1530,Hessen,Germany,50.6669,8.1836,50° 40' 01'' N,8° 11' 1'' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB2810%7CscientificName%3ABreitscheid
4994,Bremervörde,31469,B2820,Stone,Ordinary,Chondrite,H/L,3,7.25 kg,1855,May,13,1700,Niedersachsen,Germany,53.4,9.1,53° 24' N,9° 6' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB2820%7CscientificName%3ABremerv%C3%B6rde
5000,Brient,31475,B2900,Stone,Eucrite,Achondrite,EUC,,219 g,1933,April,19,2030,Orenburg Province,Russia,52.1333,59.3167,52° 8' N,59° 19' E,,
5017,Bruderheim,31492,B3030,Stone,Ordinary,Chondrite,L,6,303 kg,1960,March,4,806,Alberta,Canada,53.9,-112.8833,53° 54' N,112° 53' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB3030%7CscientificName%3ABruderheim
5024,Bulls Run,31499,B3190,,,,,,2.25 kg,1964,,,,Natal,South Africa,,,,,,
5026,Bununu,31501,B3220,Stone,Howardite,Achondrite,HOW,,357 g,1942,April,,1000,,Nigeria,10.0167,9.5833,10° 1' N,9° 35' E,,
5030,Bandong,31505,B330,Stone,Ordinary,Chondrite,LL,6,11.5 kg,1871,December,10,1330,Java,Indonesia,-6.9167,107.6,6° 55' S,107° 36' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB330%7CscientificName%3ABandong
5031,Bur-Gheluai,31506,B3300,Stone,Ordinary,Chondrite,H,5,120 kg,1919,October,16,800,,Somalia,5.0,48.0,5° N,48° E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB3300%7CscientificName%3ABur-Gheluai
5037,Burnwell,31512,B3387,Stone,Ordinary,Chondrite,UNGR,4,1.504 kg,1990,September,4,1545 EDT (1945 UT),Kentucky,USA,37.6219,-82.2372,37° 37' 19'' N,82° 14' 14'' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB3387%7CscientificName%3ABurnwell
5039,Bursa,31514,B3410,Stone,Ordinary,Chondrite,L,6,25 kg,1946,,,,,Turkey,40.2,29.2333,40° 12' N,29° 14' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB3410%7CscientificName%3ABursa
5040,Buschhof,31515,B3420,Stone,Ordinary,Chondrite,L,6,5 kg,1863,June,2,730,,Latvia,46.45,25.7833,46° 27' N,25° 47' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB3420%7CscientificName%3ABuschhof
5043,Bustee,31518,B3470,Stone,Aubrite,Achondrite,AUB,,1.6 kg,1852,December,2,1000,Uttar Pradesh,India,26.7833,82.8333,26° 47' N,82° 50' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB3470%7CscientificName%3ABustee
5045,Butsura,31520,B3510,Stone,Ordinary,Chondrite,H,6,29 kg,1861,May,12,1200,Bihar,India,27.0833,84.0833,27° 5' N,84° 5' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB3510%7CscientificName%3AButsura
5046,Ban Rong Du,31521,B375,Iron,Coarse octahedrite,,UNGR,Og,16.7 kg,1993,June,13,2030 local time (123,,Thailand,16.6667,101.1833,16° 40' N,101° 11' E,,
5047,Bansur,31522,B380,Stone,Ordinary,Chondrite,L,6,15 kg,1892,,,,Rajasthan,India,27.7,76.3333,27° 42' N,76° 20' E,,
5048,Banswal,31523,B390,Stone,Ordinary,Chondrite,L,5,14 g,1913,January,12,1800,Uttar Pradesh,India,30.4,78.2,30° 24' N,78° 12' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB390%7CscientificName%3ABanswal
5049,Banten,31524,B393,Stone,Carbonaceous,Chondrite,CM,2,629 g,1933,May,24,0400-0500,Java,Indonesia,-6.3333,106.0,6° 20' S,106° 0' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB393%7CscientificName%3ABanten
5057,Barea,31532,B510,Stony-iron,Mesosiderite,,MES,,3.2 kg,1842,July,4,,,Spain,42.3833,-2.5,42° 23' N,2° 30' W,,
5058,Barnaul,31533,B520,Stone,Ordinary,Chondrite,H,5,23.2 g,1904,May,22,2330,Altai Republic,Russia,52.7333,84.0833,52° 44' N,84° 5' E,,
5059,Barntrup,31534,B530,Stone,Ordinary,Chondrite,LL,4,17 g,1886,May,28,1430,Nordrhein-Westfalen,Germany,52.0,9.1,52° 0' N,9° 6' E,,
5060,Baroti,31535,B540,Stone,Ordinary,Chondrite,L,6,4.5 kg,1910,September,15,1000,Himachal Pradesh,India,31.6167,76.8,31° 37' N,76° 48' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB540%7CscientificName%3ABaroti
5066,Barwell,31541,B630,Stone,Ordinary,Chondrite,L,6,44 kg,1965,December,24,1620,Leicestershire,England,52.5667,-1.3333,52° 34' N,1° 20' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB630%7CscientificName%3ABarwell
5069,Baszkówka,31544,B698,Stone,Ordinary,Chondrite,L,5,15.5 kg,1994,August,25,15:50 (local time),,Poland,52.0333,20.9358,52° 2' 00'' N,20° 56' 9'' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB698%7CscientificName%3ABaszk%C3%B3wka
5082,Bath,31557,B720,Stone,Ordinary,Chondrite,H,4,21 kg,1892,August,29,1600,South Dakota,USA,45.4167,-98.3167,45° 25' N,98° 19' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB720%7CscientificName%3ABath
5083,Bath Furnace,31558,B730,Stone,Ordinary,Chondrite,L,6,86.3 kg,1902,November,15,1845,Kentucky,USA,38.25,-83.75,38° 15' N,83° 45' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB730%7CscientificName%3ABath%20Furnace
5084,Bawku,31559,B765,Stone,Ordinary,Chondrite,LL,5,1563 g,1989,December,29,16:30 (local time),,Ghana,11.0833,-0.1833,11° 5' N,0° 11' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB765%7CscientificName%3ABawku
5085,Baxter,31560,B770,Stone,Ordinary,Chondrite,L,6,611 g,1916,January,18,900,Missouri,USA,36.75,-93.5,36° 45' N,93° 30' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB770%7CscientificName%3ABaxter
5091,Beardsley,31566,B820,Stone,Ordinary,Chondrite,H,5,16 kg,1929,October,15,2330,Kansas,USA,39.8,-101.2,39° 48' N,101° 12' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB820%7CscientificName%3ABeardsley
5094,Beaver Creek,31569,B870,Stone,Ordinary,Chondrite,H,4,13.7 kg,1893,May,26,1530,British Columbia,Canada,51.1667,-117.3333,51° 10' N,117° 20' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB870%7CscientificName%3ABeaver%20Creek
5101,Beddgelert,31576,B900,Stone,Ordinary,Chondrite,H,5,794 g,1949,September,21,147,Gwynedd,Wales,53.0167,-4.1,53° 1' N,4° 6' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB900%7CscientificName%3ABeddgelert
5111,Cacak,31586,C110,Stone,,Chondrite,,,212 g,1919,June,6,2030,Serbia,Yugoslavia,43.8389,20.3333,43° 50' 20'' N,20° 20' E,,
