,Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),year,month,latitude_decimal,longitude_decimal
182,2019-03-19 02:06:39,24.0S,140.3E,28.7,16.2,10.2,0.4,12.6,20000000000.0,0.073,2019,3,-24.0,140.3
183,2019-03-15 12:26:56,63.7N,95.7E,31.5,14.4,5.4,-13.2,1.7,46000000000.0,0.15,2019,3,63.7,95.7
184,2019-02-18 10:00:43,15.5S,25.3E,26.0,20.8,-16.6,-12.6,0.6,1958000000000.0,4.2,2019,2,-15.5,25.3
185,2019-02-01 18:17:10,22.5N,83.8W,23.7,16.3,-2.4,13.6,8.7,579000000000.0,1.4,2019,2,22.5,-83.8
187,2019-01-22 09:18:01,18.0N,6.5E,42.5,11.6,-8.6,-5.9,5.0,36000000000.0,0.12,2019,1,18.0,6.5
188,2018-12-23 23:38:03,47.5S,174.4W,31.8,16.5,9.9,7.6,10.8,89000000000.0,0.27,2018,12,-47.5,-174.4
189,2018-12-18 23:48:20,56.9N,172.4E,26.0,13.6,6.3,-3.0,-31.2,31300000000000.0,49.0,2018,12,56.9,172.4
190,2018-11-20 17:30:28,25.3N,6.7W,27.4,17.4,-10.1,13.9,3.0,422000000000.0,1.1,2018,11,25.3,-6.7
191,2018-11-17 21:48:24,47.3N,172.9W,32.5,19.1,7.6,17.3,-2.7,220000000000.0,0.61,2018,11,47.3,-172.9
192,2018-11-15 08:02:44,42N,57W,,,,,,20000000000.0,0.073,2018,11,42.0,-57.0
193,2018-11-14 04:03:47,37.6S,83.5E,37.0,,,,,38000000000.0,0.13,2018,11,-37.6,83.5
194,2018-10-24 21:19:07,6.7S,148.6W,33.3,,,,,47000000000.0,0.16,2018,10,-6.7,-148.6
196,2018-10-05 00:27:04,39.8S,31.7W,31.5,14.7,-13.2,-6.5,-0.4,38000000000.0,0.13,2018,10,-39.8,-31.7
197,2018-09-25 14:10:33,23.5S,56.8E,33.0,16.5,-16.2,2.8,0.6,806000000000.0,1.9,2018,9,-23.5,56.8
198,2018-09-25 00:16:59,34.3S,44.9E,40.7,12.5,-11.0,2.5,-5.5,53000000000.0,0.17,2018,9,-34.3,44.9
199,2018-09-20 18:29:03,67.3S,75.1E,,11.1,-5.6,-7.9,5.5,83000000000.0,0.26,2018,9,-67.3,75.1
200,2018-09-17 01:08:02,6.8S,27.8W,,,,,,150000000000.0,0.43,2018,9,-6.8,-27.8
201,2018-09-13 00:51:21,42.5N,50.1W,,,,,,42000000000.0,0.14,2018,9,42.5,-50.1
202,2018-08-27 04:36:45,1.7S,141.4E,33.0,16.1,9.8,-9.6,-8.4,24000000000.0,0.086,2018,8,-1.7,141.4
203,2018-08-21 12:26:14,39.2S,162.9W,37.0,,,,,22000000000.0,0.079,2018,8,-39.2,-162.9
